Catalog_Number,Date,TD_Greatest_Eclipse,Delta_T,Saros,Type,Type_Full,Gamma,Penumbral_Magnitude,Umbral_Magnitude,Penumbral_Duration_Min,Partial_Duration_Min,Total_Duration_Min,Zenith_Latitude,Zenith_Longitude,P1_UTC_ms,U1_UTC_ms,U2_UTC_ms,Max_UTC_ms,U3_UTC_ms,U4_UTC_ms,P4_UTC_ms
09276,1842-01-26,17:44:27,5,131,P,P,-0.5884,1.7634,0.793,295.9,172.1,0,18,97,-4037071415000,-4037067701000,,-4037062538000,,-4037057375000,-4037053661000
09277,1842-07-22,10:47:38,6,136,P,P,0.8383,1.348,0.2917,311.6,126.5,0,-20,-161,-4021804096000,-4021798543000,,-4021794748000,,-4021790953000,-4021785400000
09278,1842-12-17,19:02:29,6,103,N,N,1.5078,0.1082,-0.9253,94.1,0,0,25,74,-4008980680000,,,-4008977857000,,,-4008975034000
09279,1843-01-16,08:14:24,6,141,N,N,-1.2885,0.4955,-0.5083,187.7,0,0,20,-121,-4006430373000,,,-4006424742000,,,-4006419111000
09280,1843-06-12,07:22:16,6,108,N,N,-1.0767,0.8717,-0.1073,240,0,0,-24,-111,-3993734270000,,,-3993727070000,,,-3993719870000
09281,1843-07-11,16:49:54,6,146,N,Nb,1.5468,0.0226,-0.9831,43.3,0,0,-21,108,-3991188711000,,,-3991187412000,,,-3991186113000
09282,1843-12-07,00:11:31,6,113,P,P,0.8785,1.2896,0.2031,308.3,106.6,0,23,-5,-3978382964000,-3978376913000,,-3978373715000,,-3978370517000,-3978364466000
09283,1844-05-31,22:50:43,6,118,T,T,-0.305,2.2706,1.3255,312,202.4,77.1,-22,17,-3963095123000,-3963091835000,-3963088076000,-3963085763000,-3963083450000,-3963079691000,-3963076403000
09284,1844-11-24,23:44:52,6,123,T,T+,0.2026,2.5375,1.4358,375.4,230.2,93.3,21,1,-3947800976000,-3947796620000,-3947792513000,-3947789714000,-3947786915000,-3947782808000,-3947778452000
09285,1845-05-21,15:54:30,6,128,T,T,0.4281,2.0488,1.0957,308.6,193.7,45.3,-20,121,-3932447994000,-3932444547000,-3932440095000,-3932438736000,-3932437377000,-3932432925000,-3932429478000
09286,1845-11-14,00:49:42,6,133,P,P,-0.4924,1.9872,0.9221,344.1,198.9,0,18,-16,-3917210547000,-3917206191000,,-3917200224000,,-3917194257000,-3917189901000
09287,1846-04-11,18:11:36,6,100,N,N,-1.5131,0.0998,-0.9366,92.6,0,0,-10,87,-3904353288000,,,-3904350510000,,,-3904347732000
09288,1846-05-11,05:53:43,6,138,N,N,1.2111,0.6355,-0.3643,214.2,0,0,-17,-89,-3901809209000,,,-3901802783000,,,-3901796357000
09289,1846-10-04,22:21:39,6,105,N,N,1.5077,0.0779,-0.8954,75.7,0,0,6,21,-3889131378000,,,-3889129107000,,,-3889126836000
09290,1846-11-03,08:59:23,6,143,N,N,-1.1618,0.7287,-0.2766,224.5,0,0,14,-139,-3886591978000,,,-3886585243000,,,-3886578508000
09291,1847-03-31,21:27:03,6,110,P,P,-0.8345,1.3684,0.2856,318.2,126.4,0,-5,39,-3873762729000,-3873756975000,,-3873753183000,,-3873749391000,-3873743637000
09292,1847-09-24,14:33:44,7,115,P,P,0.7973,1.3714,0.4181,272.5,132.7,0,1,139,-3858493358000,-3858489164000,,-3858485183000,,-3858481202000,-3858477008000
09293,1848-03-19,21:12:12,7,120,T,T-,-0.1186,2.6823,1.5993,372.5,232.4,101.4,0,44,-3843179650000,-3843175447000,-3843171517000,-3843168475000,-3843165433000,-3843161503000,-3843157300000
